b_win,a_ortg,a_drtg,a_pospg,a_efg,a_opp_efg,a_ts,a_opp_ts,a_a_rate,a_ft_rate,a_ppg,a_opp_ppg,a_apg,a_rpg,a_orpg,a_bpg,a_spg,a_topg,a_pfpg,a_rank,a_sos,b_ortg,b_drtg,b_pospg,b_efg,b_opp_efg,b_ts,b_opp_ts,b_a_rate,b_ft_rate,b_ppg,b_opp_ppg,b_apg,b_rpg,b_orpg,b_bpg,b_spg,b_topg,b_pfpg,b_rank,b_sos
1,98.80436211,98.59414006,67.95535714,0.476485149,0.47574124,0.508713064,0.522941406,0.554285714,0.301980198,67.14285714,67,13.85714286,32.71428571,11.14285714,4.857142857,6.428571429,13,19.85714286,120.4375,164.627193,85.35193142,101.4592025,66.9125,0.37037037,0.529545455,0.403263769,0.563523173,0.459459459,0.261022928,57.11111111,67.88888889,9.444444444,34.44444444,14.66666667,3.666666667,6.222222222,11.33333333,19.66666667,301.59375,176.6769759
0,98.88918339,102.7445122,64.8453125,0.481818182,0.538369305,0.511210762,0.568503013,0.458100559,0.295454545,64.125,66.625,10.25,31.5,8.375,3.75,4.25,10.875,14.375,190.71875,186.0727969,102.3941678,92.78435921,67.06111111,0.492929293,0.470893971,0.530996262,0.49718116,0.585365854,0.36969697,68.66666667,62.22222222,13.33333333,31,8.777777778,5.333333333,6,11.44444444,17.88888889,98.0625,189.5136986
1,78.592745,117.2959647,74.92916667,0.362099644,0.593045113,0.406878551,0.610881569,0.455555556,0.334519573,58.88888889,87.88888889,9.111111111,23.55555556,10.44444444,0.777777778,9.333333333,13.33333333,19.88888889,341.15625,165.9756944,94.20344906,100.2810909,65.815,0.418560606,0.528846154,0.482866044,0.559037777,0.43877551,0.454545455,62,66,8.6,37.4,14.2,2.8,9.2,15.8,15.8,193.4375,188.2360248
0,107.7385733,88.6116144,74.35694444,0.484455959,0.403703704,0.524516223,0.461748102,0.603846154,0.393782383,80.11111111,65.88888889,17.44444444,37.88888889,13.77777778,5.666666667,7.666666667,12.66666667,21.22222222,13.80555556,89.08695652,102.1771738,110.1768101,68.753125,0.526373626,0.530162413,0.543283871,0.582888472,0.497584541,0.287912088,70.25,75.75,12.875,29.75,8.75,1.75,6.375,13.125,21.375,304.34375,189.3398438
0,93.19386501,100.1269726,68.9125,0.46124031,0.496774194,0.49132948,0.549338759,0.532019704,0.294573643,64.22222222,69,12,32.11111111,10.22222222,4.111111111,6.111111111,13,20.11111111,255.3125,178.8823529,111.7325265,99.50796125,68.16875,0.543806647,0.484423676,0.581795035,0.532339285,0.569620253,0.392749245,76.16666667,67.83333333,15,38,10.83333333,1.666666667,6.166666667,13.33333333,18.16666667,74.6875,128.373057
1,100.9481714,104.3701433,65.7515625,0.448275862,0.508333333,0.512449334,0.541500222,0.462962963,0.581280788,66.375,68.625,9.375,31.375,11,3.5,6,12.125,20.125,238.4375,170.8984375,100.0614785,84.28907592,73.7046875,0.492662474,0.416334661,0.533453888,0.441169944,0.519607843,0.335429769,73.75,62.125,13.25,40,9.75,4.75,6.75,13.875,17.25,22.58333333,112.9511278
1,92.39520218,96.15432175,63.1796875,0.442446043,0.492227979,0.478238607,0.528691868,0.49068323,0.35971223,58.375,60.75,9.875,34.375,9.5,3,4.875,11.5,19.125,189.90625,164.9649805,105.0019006,85.32522416,69.8796875,0.508274232,0.423340961,0.558409437,0.464482205,0.467741935,0.510638298,73.375,59.625,10.875,35.25,8.875,5.25,10.25,12,17.25,47.18181818,184.6835938
0,97.20288571,90.62144032,65.84166667,0.465442765,0.460136674,0.51307175,0.508691328,0.425641026,0.447084233,64,59.66666667,9.222222222,31.22222222,10.44444444,1.333333333,7.333333333,13.55555556,19.88888889,186.75,247.9722222,82.99959683,108.5875554,66.4375,0.418449198,0.505540166,0.443397852,0.550288765,0.433823529,0.344919786,55.14285714,72.14285714,8.428571429,23.57142857,7.857142857,2.428571429,5.857142857,12.57142857,23.71428571,333.59375,182.2587719
1,113.5540839,100.1324503,70.78125,0.563807531,0.465957447,0.582823476,0.508178355,0.449339207,0.324267782,80.375,70.875,12.75,32.875,9.375,5.75,6.625,12,19.875,83.59375,157.48659,96.44783614,93.26605185,71.8375,0.436170213,0.4675,0.489701131,0.493139162,0.51552795,0.359338061,69.28571429,67,11.85714286,44.57142857,14.14285714,4.571428571,5.571428571,14.71428571,21.71428571,142.09375,163.9330357
1,74.01469606,118.1028724,62.375,0.447272727,0.562682216,0.459941885,0.576459081,0.495495495,0.2,46.16666667,73.66666667,9.166666667,21.16666667,5.5,3.833333333,4.166666667,17.33333333,15.33333333,342.8125,143.6989796,88.55581577,102.7946916,72.78409091,0.443338438,0.524914089,0.476046598,0.56171723,0.537254902,0.295558959,64.45454545,74.81818182,12.45454545,30.63636364,8.909090909,3.181818182,7.272727273,14.54545455,23.27272727,317.375,220.6335227
